trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,nearby_prov_fuel,nearby_window_km,fuel_litres_per_km,window_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,anomaly_source,anomaly_score,Primary Driver,Secondary Driver,Multi-Feature Interaction Spike,Route Context,forest_prediction
2016-03-16,Caledon,Red Deer,305118.0,308368.0,3250.0,0.0,0.0,0.0,3250.0,0.0,0.0,0.0,0.0,46.445,0.0,3537601,2016-03-16 00:00:00,09:56:00,"CALEDON, ON",40.83,Log_1_Excel,46.445,invoice,3,46.445,3250.0,0.01429076923076923,0.01429076923076923,0.012563076923076923,3250.0,0.0,211939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,0.0,1.0,1.0,5.6521739130434785,1.0,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,Caledon ➔ Red Deer,
2022-01-06,"Valemount, BC ","Nisku, AB ",787270.0,787800.0,530.0,0.0,80.0,0.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,600.0,provincial_log,2,600.0,2380.0,1.1320754716981132,0.25210084033613445,0.0,80.0,450.0,32220.0,1.0,0.0,1.0,-1.0,0.1509433962264151,0.0,0.1509433962264151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,600.0,925.0,600.0,0.572972972972973,1.0,0.572972972972973,1.0,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,"Valemount, BC  ➔ Nisku, AB ",
2022-02-13,Nisku to Kamloops ,"Williams Lake,BC ",720580.0,721780.0,1200.0,500.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,646.0,provincial_log_nearby,1,646.0,3900.0,0.5383333333333333,0.16564102564102565,0.0,1200.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.4166666666666667,0.5833333333333334,0.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,550.0,739.0,593.7333333333333,4.0,1.1745454545454546,1.6238159675236807,1.0880305412081743,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,"Nisku to Kamloops  ➔ Williams Lake,BC ",
2022-04-22,"Nisku, AB ","Nisku, AB ",767050.0,767170.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,350.0,provincial_log_nearby,1,350.0,5120.0,2.9166666666666665,0.068359375,0.0,120.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,470.0,902.9411764705883,604.0588235294117,0.1348314606741573,0.7446808510638298,0.13289902280130292,0.5794137695978188,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,"Nisku, AB  ➔ Nisku, AB ",
2022-06-06,Nisku to Spruce Grove ,"Nisku, AB ",788100.0,788250.0,150.0,150.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,380.0,provincial_log,2,380.0,2120.0,2.533333333333333,0.1792452830188679,0.0,150.0,0.0,12850.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,986.0,492.0,873.8461538461538,542.9230769230769,0.15212981744421908,0.7723577235772358,0.17165492957746478,0.6999149900821763,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,"Nisku to Spruce Grove  ➔ Nisku, AB ",
2022-07-02,"Kelowna, BC ","Grande Prairie, AB ",717150.0,718200.0,1050.0,550.0,500.0,0.0,0.0,0.0,550.0,477.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,1027.0,provincial_log,2,1027.0,4480.0,0.9780952380952381,0.22924107142857142,0.0,1050.0,0.0,0.0,1.0,0.5238095238095238,0.5355404089581305,-0.011730885148606651,0.47619047619047616,0.4644595910418695,0.011730885148606651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0,520.0,776.1111111111111,533.2777777777778,1.5086206896551724,1.975,1.3528990694345024,1.9258256068340451,Deterministic Z-Score Rule,-1.0,Rule-Based Violation,None,N/A,"Kelowna, BC  ➔ Grande Prairie, AB ",
2016-03-06,Edmonton,Kelowna,92604.0,93179.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_1_Excel,0.0,missing,0,0.0,575.0,0.0,0.0,0.0,0.0,575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Isolation Forest,-0.5864692452740066,km_reconciliation_gap,fuel_source_reliability,High,Edmonton ➔ Kelowna,-1.0
2016-05-04,Langley,Burnaby,41908.0,41938.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,29.23,0.0,0.0,0.0,137400032RT,2016-05-04 00:00:00,16:26:26,"LANGLEY, BC",33.0,Log_1_Excel,29.23,invoice,3,29.23,30.0,0.9743333333333334,0.9743333333333334,1.1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,85.0,0.0,0.35294117647058826,1.0,0.35294117647058826,1.0,Isolation Forest,-0.6289619645580964,dist_to_monthly_ratio,window_fuel_per_km,High,Langley ➔ Burnaby,-1.0
2021-05-08,"Barrie, ON","Willowdale, ON",211390.0,211480.0,90.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,47.208,0.0,126714,2021-05-08 00:00:00,16:27:00,"BARRIE, ON",59.43,Log_1_Excel,47.208,invoice,3,47.208,90.0,0.5245333333333333,0.5245333333333333,0.6603333333333333,90.0,0.0,169452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Isolation Forest,-0.6068271204468298,on_dist_prop,on_fuel_prop,High,"Barrie, ON ➔ Willowdale, ON",-1.0
2025-11-30,Winnipeg,Brandon,62845.0,63060.0,215.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,35.313,0.0,0.0,0010019100,2025-11-30 00:00:00,18:51:41,"WINNIPEG, MB",41.03,Log_1_Excel,35.313,invoice,3,35.313,215.0,0.164246511627907,0.164246511627907,0.1908372093023256,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,Isolation Forest,-0.6084669771986599,mb_fuel_prop,mb_dist_prop,High,Winnipeg ➔ Brandon,-1.0
