trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log,total_fuel_litres,fuel_source,fuel_source_reliability,km_per_tank,avg_fuel_per_tank,fuel_litres_per_km,cycle_fuel_per_km,fuel_cost_per_km,provincial_sum_km,km_reconciliation_gap,odometer_gap,cross_border_trip,ab_dist_prop,ab_fuel_prop,ab_dist_fuel_variance,bc_dist_prop,bc_fuel_prop,bc_dist_fuel_variance,mb_dist_prop,mb_fuel_prop,mb_dist_fuel_variance,on_dist_prop,on_fuel_prop,on_dist_fuel_variance,sk_dist_prop,sk_fuel_prop,sk_dist_fuel_variance,weekly_avg_distance_km,weekly_avg_fuel_litres,monthly_avg_distance_km,monthly_avg_fuel_litres,dist_to_weekly_ratio,fuel_to_weekly_ratio,dist_to_monthly_ratio,fuel_to_monthly_ratio,forest_prediction,anomaly_score,anomaly_source,Route Context
2022-01-03,"Nisku, AB ","Fort St. Jhon, BC ",731600.0,732400.0,800.0,650.0,150.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,1050.0,600.0,0.8125,0.5714285714285714,0.0,800.0,0.0,0.0,1.0,0.8125,1.0,-0.1875,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,-0.44624143462743665,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-01-13,nisku to grande prairie ,"Nisku, AB ",706600.0,707600.0,1000.0,1000.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,610.0,provincial_log,2,1620.0,667.0,0.61,0.41172839506172837,0.0,1000.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.0,600.0,793.3333333333334,600.0,1.8867924528301887,1.0166666666666666,1.2605042016806722,1.0166666666666666,1,-0.4563005557202132,Isolation Forest,"nisku to grande prairie  ➔ Nisku, AB "
2022-01-14,nisku to grande prairie ,"Nisku, AB ",707600.0,708650.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,667.0,provincial_log_nearby,1,1620.0,667.0,0.6352380952380953,0.41172839506172837,0.0,1050.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,610.0,845.0,602.5,1.05,1.0934426229508196,1.242603550295858,1.1070539419087138,1,-0.4842508739507571,Isolation Forest,"nisku to grande prairie  ➔ Nisku, AB "
2022-01-18,"Nisku, AB ","Fort St. Jhon, BC ",708650.0,709220.0,570.0,420.0,150.0,0.0,0.0,0.0,724.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,724.0,provincial_log,2,1030.0,687.0,1.2701754385964912,0.6669902912621359,0.0,570.0,0.0,0.0,1.0,0.7368421052631579,1.0,-0.26315789473684215,0.2631578947368421,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,638.5,886.0,615.4,0.5560975609756098,1.133907595927956,0.6433408577878104,1.1764705882352942,1,-0.4794019028512039,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-01-19,"Fort St. Jhon, BC ",Red Deer to Nisku ,709220.0,710250.0,1030.0,880.0,150.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,800.0,541.0,0.6310679611650486,0.67625,0.0,1030.0,0.0,0.0,1.0,0.8543689320388349,1.0,-0.1456310679611651,0.14563106796116504,0.0,0.14563106796116504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.3333333333334,667.0,833.3333333333334,633.5,1.1793893129770991,0.974512743628186,1.236,1.0260457774269929,1,-0.40343423302179166,Isolation Forest,"Fort St. Jhon, BC  ➔ Red Deer to Nisku "
2022-01-20,"Nisku, AB ","Prince George, BC ",710250.0,711050.0,800.0,450.0,350.0,0.0,0.0,0.0,432.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,432.0,provincial_log,2,950.0,388.5,0.54,0.4089473684210526,0.0,800.0,0.0,0.0,1.0,0.5625,1.0,-0.4375,0.4375,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.5,662.75,861.4285714285714,635.8571428571429,0.8767123287671232,0.6518294983025273,0.9286898839137645,0.6793978881150303,1,-0.4524050073198112,Isolation Forest,"Nisku, AB  ➔ Prince George, BC "
2022-01-21,"Prince George, BC ","Nisku, AB ",711050.0,712000.0,950.0,550.0,400.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,345.0,provincial_log,2,550.0,495.0,0.3631578947368421,0.9,0.0,950.0,0.0,0.0,1.0,0.5789473684210527,0.0,0.5789473684210527,0.42105263157894735,1.0,-0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.5,618.25,853.75,610.375,1.1014492753623188,0.5580266882329155,1.1127379209370425,0.5652262953102601,1,-0.5470285326701823,Isolation Forest,"Prince George, BC  ➔ Nisku, AB "
2022-01-24,"Nisku, AB ","Grande Prairie, AB ",712000.0,712550.0,550.0,550.0,0.0,0.0,0.0,0.0,645.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,645.0,provincial_log,2,600.0,615.0,1.1727272727272726,1.025,0.0,550.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.5,537.75,864.4444444444445,580.8888888888889,0.6567164179104478,1.199442119944212,0.6362467866323908,1.1103672532517215,1,-0.4796046608837837,Isolation Forest,"Nisku, AB  ➔ Grande Prairie, AB "
2022-01-25,"Grande Prairie, AB ","Nisku, AB ",712550.0,713150.0,600.0,600.0,0.0,0.0,0.0,0.0,585.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,585.0,provincial_log,2,1480.0,617.5,0.975,0.4172297297297297,0.0,600.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,559.2,833.0,587.3,0.7692307692307693,1.046137339055794,0.7202881152460985,0.9960837731993871,1,-0.4199697430629203,Isolation Forest,"Grande Prairie, AB  ➔ Nisku, AB "
2022-01-26,"Nisku, AB ","Fort St. Jhon, BC ",713150.0,713950.0,800.0,650.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,617.5,provincial_log_nearby,1,1480.0,617.5,0.771875,0.4172297297297297,0.0,800.0,0.0,0.0,1.0,0.8125,0.0,0.8125,0.1875,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,531.4,811.8181818181819,587.0909090909091,1.0178117048346056,1.1620248400451638,0.9854423292273236,1.0517962217404768,1,-0.44228131983434343,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
2022-01-27,"Fort St. Jhon, BC ","Nisku, AB ",713950.0,714630.0,680.0,530.0,150.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,650.0,provincial_log,2,1450.0,670.0,0.9558823529411765,0.46206896551724136,0.0,680.0,0.0,0.0,1.0,0.7794117647058824,1.0,-0.22058823529411764,0.22058823529411764,0.0,0.22058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,524.9,810.8333333333334,589.625,0.918918918918919,1.2383311106877501,0.8386433710174717,1.1023955904176383,1,-0.40674615041633316,Isolation Forest,"Fort St. Jhon, BC  ➔ Nisku, AB "
2022-01-30,"Nisku, AB ","Fort St. Jhon, BC ",714630.0,715230.0,600.0,500.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO MATCHING INVOICE,0.0,0.0,NO MATCHING INVOICE,0.0,Log_2_PDF,670.0,provincial_log_nearby,1,1450.0,670.0,1.1166666666666667,0.46206896551724136,0.0,600.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657.5,624.375,800.7692307692307,594.2692307692307,0.9125475285171103,1.073073073073073,0.7492795389048992,1.1274351174681252,1,-0.4833501201495663,Isolation Forest,"Nisku, AB  ➔ Fort St. Jhon, BC "
