trip_date,trip_origin,trip_destination,start_odometer,end_odometer,total_km,ab_km,bc_km,mb_km,on_km,sk_km,ab_fuel,bc_fuel,mb_fuel,on_fuel,sk_fuel,matching_invoice_number,invoice_date,invoice_time,invoice_location,total_cost,source_log
2016-03-06,Edmonton,Kelowna,92604.0,93179.0,575.0,0.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_1_Excel
2016-03-16,Caledon,Red Deer,305118.0,308368.0,3250.0,0.0,0.0,0.0,3250.0,0.0,,,,46.445,,3537601,2016-03-16,09:56:00,"CALEDON, ON",40.83,Log_1_Excel
2016-04-30,Burnaby,Lankey,189560.0,189645.0,85.0,0.0,85.0,0.0,0.0,0.0,,,,,,0102022606,2016-04-30,15:15:54,"BURNABY,, BC",31.0,Log_1_Excel
2016-05-04,Langley,Burnaby,41908.0,41938.0,30.0,0.0,30.0,0.0,0.0,0.0,,29.23,,,,137400032RT,2016-05-04,16:26:26,"LANGLEY, BC",33.0,Log_1_Excel
2020-08-23,Lankey ,Burnaby,41908.0,41938.0,30.0,0.0,30.0,0.0,0.0,0.0,,29.23,,,,62165364653,2020-08-23,03:31:00,"LANKEY, BC",33.0,Log_1_Excel
2021-05-08,"Barrie, ON","Willowdale, ON",211390.0,211480.0,90.0,0.0,0.0,0.0,90.0,0.0,,,,47.208,,126714,2021-05-08,16:27:00,"BARRIE, ON",59.43,Log_1_Excel
2022-01-03,"Nisku, AB ","Fort St. Jhon, BC ",731600.0,732400.0,800.0,650.0,150.0,0.0,0.0,0.0,650.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-04,"Kelowna, BC ","Nisku, AB ",754000.0,755050.0,1050.0,500.0,550.0,0.0,0.0,0.0,,550.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-06,"Valemount, BC ","Nisku, AB ",787270.0,787800.0,530.0,0.0,80.0,0.0,0.0,0.0,600.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-13,nisku to grande prairie ,"Nisku, AB ",706600.0,707600.0,1000.0,1000.0,0.0,0.0,0.0,0.0,610.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-14,nisku to grande prairie ,"Nisku, AB ",707600.0,708650.0,1050.0,1050.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-18,"Nisku, AB ","Fort St. Jhon, BC ",708650.0,709220.0,570.0,420.0,150.0,0.0,0.0,0.0,724.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-19,"Fort St. Jhon, BC ",Red Deer to Nisku ,709220.0,710250.0,1030.0,880.0,150.0,0.0,0.0,0.0,650.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-20,"Nisku, AB ","Prince George, BC ",710250.0,711050.0,800.0,450.0,350.0,0.0,0.0,0.0,432.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-21,"Prince George, BC ","Nisku, AB ",711050.0,712000.0,950.0,550.0,400.0,0.0,0.0,0.0,,345.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-24,"Nisku, AB ","Grande Prairie, AB ",712000.0,712550.0,550.0,550.0,0.0,0.0,0.0,0.0,645.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-25,"Grande Prairie, AB ","Nisku, AB ",712550.0,713150.0,600.0,600.0,0.0,0.0,0.0,0.0,585.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-26,"Nisku, AB ","Fort St. Jhon, BC ",713150.0,713950.0,800.0,650.0,150.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-27,"Fort St. Jhon, BC ","Nisku, AB ",713950.0,714630.0,680.0,530.0,150.0,0.0,0.0,0.0,650.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-30,"Nisku, AB ","Fort St. Jhon, BC ",714630.0,715230.0,600.0,500.0,100.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-01-31,"Fort St. Jhon, BC ","Nisku, AB ",715230.0,716080.0,850.0,600.0,200.0,0.0,0.0,0.0,690.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-01,"Nisku, AB ","Grande Prairie, AB ",702870.0,703370.0,500.0,500.0,0.0,0.0,0.0,0.0,500.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-03,"Fort St. Jhon, BC ",Nisku to Fox Creek ,732400.0,733470.0,1070.0,920.0,150.0,0.0,0.0,0.0,700.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-05,"Abbotsford, BC ","Valemount, BC ",771515.0,772250.0,735.0,0.0,735.0,0.0,0.0,0.0,,550.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-06,"Nisku to Fort Sask, ","Nisku, AB ",787800.0,788100.0,300.0,300.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-13,Nisku to Kamloops ,"Williams Lake,BC ",720580.0,721780.0,1200.0,500.0,700.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-14,"Williams Lake, BC ","Nisku, AB ",721780.0,722830.0,1050.0,550.0,500.0,0.0,0.0,0.0,,646.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-15,"Nisku, AB ","Fort St. Jhon, BC ",722830.0,723630.0,800.0,650.0,150.0,0.0,0.0,0.0,680.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-16,"Fort St. Jhon, BC ","Nisku, AB ",723630.0,724480.0,850.0,700.0,150.0,0.0,0.0,0.0,650.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-17,"Nisku, AB ","Valleyview, AB ",724480.0,724850.0,370.0,370.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-18,"Grande Prairie, AB ","Nisku, AB ",724850.0,725500.0,650.0,650.0,0.0,0.0,0.0,0.0,400.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-21,"Nisku, AB ","Fort St. Jhon, BC ",725500.0,726300.0,800.0,650.0,150.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-22,"Fort St. Jhon, BC ",Nisku to Calgary ,726300.0,727450.0,1150.0,1000.0,150.0,0.0,0.0,0.0,730.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-23,Calgary to Grande Prairie ,"Nisku, AB ",727450.0,728650.0,1200.0,1200.0,0.0,0.0,0.0,0.0,680.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-24,Nisku to Chetwynd ,"Prince George, BC ",728650.0,729750.0,1100.0,650.0,450.0,0.0,0.0,0.0,440.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-25,"Prince George, BC ","Nisku, AB ",729750.0,730600.0,850.0,450.0,350.0,0.0,0.0,0.0,,340.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-02-28,nisku to grande prairie ,"Nisku, AB ",730600.0,731600.0,1000.0,1000.0,0.0,0.0,0.0,0.0,530.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-01,"Grande Prairie, AB ","Nisku, AB ",703370.0,704000.0,630.0,630.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-03,Fox Creek to Grande Prairie ,Nisku to Valleyview ,733470.0,734550.0,1080.0,1080.0,0.0,0.0,0.0,0.0,700.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-05,"Valemount, BC ","Nisku, AB ",772250.0,772750.0,500.0,450.0,50.0,0.0,0.0,0.0,688.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-14,nisku to grande prairie ,"Nisku, AB ",740600.0,741650.0,1050.0,1050.0,0.0,0.0,0.0,0.0,650.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-15,Nisku to Clairmont ,"Nisku, AB ",741650.0,742700.0,1050.0,1050.0,0.0,0.0,0.0,0.0,750.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-16,Nisku to Hinton ,Red Deer to Nisku ,742700.0,743580.0,880.0,880.0,0.0,0.0,0.0,0.0,600.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-17,"Nisku, AB ","Prince George, BC ",743580.0,744350.0,770.0,420.0,350.0,0.0,0.0,0.0,330.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-18,"Prince George, BC ","Nisku, AB ",744350.0,745300.0,950.0,600.0,350.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-21,Nisku to Hinton ,Calgary to Nisku ,745300.0,746450.0,1150.0,1150.0,0.0,0.0,0.0,0.0,350.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-22,Nisku to Clairmont ,Acheson to Clairmont ,746450.0,747550.0,1100.0,1100.0,0.0,0.0,0.0,0.0,500.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-23,Clairmont to Edm. ,Edm. to Clairmont ,747550.0,748650.0,1100.0,1100.0,0.0,0.0,0.0,0.0,500.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-24,Clairmont to Edm. ,Edm. to Clairmont ,748650.0,749750.0,1100.0,1100.0,0.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-25,Clairmont to Edm. ,"Nisku, AB ",749750.0,750450.0,700.0,700.0,0.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-28,"Nisku, AB ","Kamloops, BC ",750450.0,751350.0,900.0,450.0,450.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-29,Kamloops to Surrey ,"Valemount, BC ",751350.0,752380.0,1030.0,0.0,1030.0,0.0,0.0,0.0,,500.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-30,"Valemount, BC ","Nisku, AB ",752380.0,752980.0,600.0,500.0,100.0,0.0,0.0,0.0,690.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-03-31,"Nisku, AB ","Kelowna, BC ",752980.0,754000.0,1020.0,520.0,500.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-03,"Valleyview, AB ",Chetwynd to Nisku ,734550.0,735650.0,1100.0,750.0,350.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-04,"Nisku, AB ","Clairmont, AB ",755050.0,755600.0,550.0,550.0,0.0,0.0,0.0,0.0,963.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-05,nisku to grande prairie ,"Nisku, AB ",772750.0,773800.0,1050.0,1050.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-13,"Kelowna, BC ","Nisku, AB ",760850.0,761800.0,950.0,450.0,500.0,0.0,0.0,0.0,500.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-14,"Nisku, AB ","Prince George, BC ",761800.0,762600.0,800.0,450.0,350.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-15,"Prince George, BC ","Nisku, AB ",762600.0,763450.0,850.0,500.0,350.0,0.0,0.0,0.0,,400.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-18,"Nisku, AB ","Fort St. Jhon, BC ",763450.0,764150.0,700.0,550.0,150.0,0.0,0.0,0.0,610.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-19,"Fort St. Jhon, BC ","Nisku, AB ",764150.0,764900.0,750.0,600.0,150.0,0.0,0.0,0.0,550.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-20,Nisku to Manning ,"Chetwynd, BC ",764900.0,765950.0,1050.0,900.0,150.0,0.0,0.0,0.0,440.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-21,"Chetwynd to PG, BC ","Nisku, AB ",765950.0,767050.0,1100.0,500.0,600.0,0.0,0.0,0.0,,350.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-22,"Nisku, AB ","Nisku, AB ",767050.0,767170.0,120.0,120.0,0.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-24,"Nisku, AB ","Agassiz, BC ",767170.0,768270.0,1100.0,500.0,600.0,0.0,0.0,0.0,740.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-25,"Agassiz, BC ","Hinton, AB ",768270.0,769270.0,1000.0,800.0,200.0,0.0,0.0,0.0,,535.0,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-26,"Hinton to GP, AB ","Nisku, AB ",769270.0,770320.0,1050.0,1050.0,0.0,0.0,0.0,0.0,600.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-04-28,"Nisku, AB ","Abbotsford, BC ",770320.0,771515.0,1195.0,530.0,665.0,0.0,0.0,0.0,662.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-05-04,"Clairmont to FSJ, BC ","Nisku, AB ",755600.0,756550.0,950.0,650.0,300.0,0.0,0.0,0.0,,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
2022-05-05,"Nisku, AB ","Dawson Creek, BC ",773800.0,774430.0,630.0,550.0,80.0,0.0,0.0,0.0,690.0,,,,,NO MATCHING INVOICE,,,NO MATCHING INVOICE,,Log_2_PDF
