,trip_date,trip_origin,trip_destination,trip_start_time,trip_end_time,start_odometer,end_odometer,distance_km,vin_or_truck_number,ab_kms,bc_kms,sk_kms,mb_kms,on_kms,ab_fuel,bc_fuel,sk_fuel,mb_fuel,on_fuel,source_file
0,02/5/22 ,"Abbotsford, BC ","Valemount, BC ",,,771515 ,772250 ,735 ,,,735 ,,,,,550 ,,,,Distance log 2.pdf
1,03/5/22 ,"Valemount, BC ","Nisku, AB ",,,772250 ,772750 ,500 ,,450 ,50 ,,,,688 ,,,,,Distance log 2.pdf
2,04/5/22 ,nisku to grande prairie ,"Nisku, AB ",,,772750 ,773800 ,1050 ,,1050 ,,,,,,,,,,Distance log 2.pdf
3,05/5/22 ,"Nisku, AB ","Dawson Creek, BC ",,,773800 ,774430 ,630 ,,550 ,80 ,,,,690 ,,,,,Distance log 2.pdf
4,06/5/22 ,"Fort St. Jhon, BC ","Nisku, AB ",,,774430 ,775250 ,820 ,,600 ,220 ,,,,500 ,,,,,Distance log 2.pdf
5,09/5/22 ,nisku to grande prairie ,"Nisku, AB ",,,775250 ,776280 ,1030 ,,1030 ,,,,,500 ,,,,,Distance log 2.pdf
6,10/5/22 ,nisku to grande prairie ,"Nisku, AB ",,,776280 ,777300 ,1020 ,,1020 ,,,,,500 ,,,,,Distance log 2.pdf
7,11/5/22 ,"Nisku, AB ","Chetwynd, BC ",,,777300 ,778050 ,750 ,,600 ,150 ,,,,,,,,,Distance log 2.pdf
8,12/5/22 ,"Chetwynd, BC ","Nisku, AB ",,,778050 ,778950 ,900 ,,700 ,200 ,,,,600 ,,,,,Distance log 2.pdf
9,15/5/22 ,"Nisku, AB ","Prince George, BC ",,,778950 ,779750 ,800 ,,450 ,350 ,,,,,,,,,Distance log 2.pdf
10,16/5/22 ,"Prince George, BC ","Nisku, AB ",,,779750 ,780650 ,900 ,,550 ,350 ,,,,,600 ,,,,Distance log 2.pdf
11,20/5/22 ,Nisku to Whitecourt ,"Nisku, AB ",,,780650 ,781080 ,430 ,,430 ,,,,,680 ,,,,,Distance log 2.pdf
12,23/5/22 ,"Nisku, AB ","Chetwynd, BC ",,,781080 ,781850 ,770 ,,600 ,170 ,,,,250 ,,,,,Distance log 2.pdf
